Date of requirement,Region,Country,PET bottle capacity,Type,PET bottle weight (grams),Volume (Million Pieces)
3/17/2019,South America,Panama,12Oz,Standard,13.00,22.32
3/17/2019,Asia,China,9Oz,Sleek,11.12,56.16
3/17/2019,South America,Brasil,16Oz,Standard,15.00,190.21
3/17/2019,EUR,Portugal,10 OZ,SLEEK,12.83,7.87
3/18/2019,EUR,UK,33cl,Standard,12.40,121.99
3/18/2019,South America,Colombia,12Oz,Standard,12.64,159.21
3/18/2019,EUR,Portugal,11 OZ,Standard,13.38,92.87
3/18/2019,Asia,Japan,25oz,BIG CAN,24.66,17.05
3/18/2019,South America,Argentina,15cl,Slim,8.50,47.45
3/19/2019,EUR,Spain,11 OZ,Standard,13.38,162.71
3/19/2019,South America,Brasil,16 OZ,STANDARD,16.08,32.81
3/19/2019,South America,Argentina,11Oz,Standard,12.36,70.76
3/19/2019,EUR,France,310ml,Sleek,12.26,76.95
3/19/2019,South America,Paraguay,19Oz,Standard,16.56,167.15
3/19/2019,EUR,Portugal,12 OZ,SLEEK,13.79,159.91
3/19/2019,Asia,Japan,355ml,Standard,13.09,38.55
3/19/2019,Asia,Korea,12oz Sleek,SLEEK,13.79,4.98
3/19/2019,South America,Brasil,12oz Sleek,SLEEK,13.79,21.78
3/19/2019,South America,Argentina,270ml,Sleek,13.08,127.64
3/19/2019,South America,Argentina,25oz,BIG CAN,24.66,79.29
3/20/2019,Asia,China,500ml,Standard,16.40,96.22
3/20/2019,EUR,France,8oz Sleek,SLEEK,11.03,183.03
3/20/2019,Asia,Japan,11 OZ,Standard,13.38,147.12
3/20/2019,EUR,France,10 OZ,SLEEK,12.83,149.98
3/20/2019,Asia,Korea,330ml,Standard,12.78,8.52
3/20/2019,EUR,Portugal,12oz Sleek,SLEEK,13.79,192.77
3/20/2019,South America,Paraguay,500ml,Standard,16.93,227.08
3/21/2019,Asia,Korea,355ml,Standard,12.97,23.33
3/21/2019,South America,Chile,8oz Sleek,SLEEK,11.03,136.71
3/21/2019,EUR,France,15cl,Slim,8.50,20.57
3/21/2019,South America,Colombia,15cl,Slim,8.50,28.28
3/21/2019,Asia,Japan,19Oz,Standard,16.56,144.97
3/22/2019,Asia,China,330ml,Standard,12.68,12.50
3/22/2019,North America,US,8 OZ,SLEEK,11.03,10.13
3/22/2019,EUR,Belgium,12Oz,Standard,13.00,41.36
3/22/2019,Asia,Japan,25oz,BIG CAN,24.66,90.09
3/22/2019,Asia,Japan,500ml,Standard,16.93,93.82
3/22/2019,South America,Colombia,11Oz,Standard,12.36,166.60
3/22/2019,EUR,UK,"56,8cl",Standard,18.20,85.60
3/23/2019,South America,Brasil,16 OZ,STANDARD,16.08,19.77
3/23/2019,South America,Colombia,25 OZ,STANDARD,25.27,65.27
3/23/2019,Asia,China,25oz,BIG CAN,24.66,8.59
3/23/2019,EUR,Germany,8oz Sleek,SLEEK,11.03,76.84
3/24/2019,South America,Brasil,12Oz,Standard,12.67,29.75
3/24/2019,North America,CA,270ml,Sleek,13.08,13.41
3/24/2019,EUR,Germany,33cl,Standard,11.90,180.57
3/24/2019,Asia,Japan,9Oz,Sleek,11.12,121.84
3/24/2019,South America,Brasil,25 OZ,STANDARD,25.27,44.34
3/24/2019,North America,US,330ml,Standard,12.78,35.37
3/24/2019,Asia,China,"56,8cl",Standard,18.20,53.71
3/24/2019,Asia,Japan,16Oz,Standard,15.00,4.25
3/25/2019,EUR,Germany,50cl,Standard,14.60,87.07
3/25/2019,EUR,Belgium,8 OZ,SLEEK,11.03,100.15
3/25/2019,EUR,Germany,44cl,Standard,13.90,68.37
3/25/2019,South America,Panama,330ml,Standard,12.78,126.80
3/25/2019,South America,Panama,15cl,Slim,8.50,41.91
3/25/2019,South America,Paraguay,310ml,Sleek,12.26,128.44
3/26/2019,EUR,Belgium,25cl,Slim,10.40,122.40
3/26/2019,South America,Colombia,32oz,BIG CAN,27.55,14.65
3/26/2019,South America,Argentina,8oz Sleek,SLEEK,11.03,68.47
3/26/2019,North America,CA,270ml,Sleek,13.08,158.23
3/26/2019,North America,US,32oz,BIG CAN,27.55,60.86
3/26/2019,EUR,Belgium,50cl,Standard,14.60,73.49
3/27/2019,EUR,UK,33cl,Standard,11.90,157.64
3/27/2019,North America,US,330ml,Standard,12.78,73.62
3/27/2019,EUR,Germany,24 OZ,Big Can,22.81,124.40
3/27/2019,Asia,Korea,330ml,Standard,12.78,131.44
3/28/2019,South America,Panama,12Oz,Standard,12.67,219.26
3/28/2019,South America,Panama,25cl,Slim,10.40,46.96
3/28/2019,EUR,Spain,10.5Oz,Slim,12.85,5.07
3/28/2019,Asia,Japan,33cl,Standard,11.90,49.96
3/28/2019,North America,CA,8oz Sleek,SLEEK,11.03,54.87
3/28/2019,EUR,Netherlands,16 OZ,STANDARD,16.08,58.09
3/28/2019,EUR,Germany,16Oz,Standard,15.00,66.28
3/29/2019,EUR,Belgium,50cl,Embossed,15.80,267.89
3/29/2019,Asia,China,500ml,Standard,16.40,61.97
3/29/2019,EUR,Spain,25 OZ,STANDARD,25.27,46.40
3/29/2019,EUR,Portugal,15cl,Slim,8.50,71.46
3/29/2019,South America,Panama,33cl,Standard,11.90,96.54
3/29/2019,North America,US,44cl,Standard,13.90,26.94
3/29/2019,South America,Panama,270ml,Sleek,13.08,21.14
3/29/2019,South America,Paraguay,"56,8cl",Standard,18.20,186.14
3/30/2019,North America,US,12 OZ,SLEEK,13.62,7.65
3/30/2019,Asia,China,15cl,Slim,8.50,161.95
3/30/2019,South America,Chile,25 OZ,STANDARD,25.27,117.32
3/30/2019,Asia,Japan,12Oz,Standard,13.00,59.84
3/30/2019,North America,US,330ml,Standard,12.78,172.87
3/30/2019,EUR,Czech Republic,8oz Sleek,SLEEK,11.03,4.55
3/31/2019,North America,US,16 OZ,STANDARD,15.92,5.69
3/31/2019,EUR,France,33cl,Standard,11.90,108.07
3/31/2019,South America,Panama,12 OZ,SLEEK,13.79,79.23
3/31/2019,South America,Paraguay,19Oz,Standard,16.56,62.77
4/1/2019,EUR,Germany,"56,8cl",Standard,18.20,1.00
4/1/2019,South America,Paraguay,12oz Sleek,SLEEK,13.79,88.62
4/1/2019,EUR,Portugal,330ml,Standard,12.78,69.27
4/1/2019,North America,US,24 OZ,Big Can,22.81,2.93
4/1/2019,EUR,Spain,355ml,Standard,13.09,5.39
4/1/2019,Asia,Japan,32oz,BIG CAN,27.55,148.99
4/1/2019,North America,US,9Oz,Sleek,11.12,96.30
4/1/2019,Asia,China,10 OZ,SLEEK,12.83,50.09
4/2/2019,Asia,Korea,330ml,Standard,12.78,37.64
4/2/2019,South America,Argentina,9Oz,Sleek,11.12,178.88
4/2/2019,EUR,Germany,11 OZ,Standard,13.38,29.60
4/2/2019,EUR,Portugal,50cl,Standard,14.60,72.18
4/2/2019,EUR,Czech Republic,25oz,BIG CAN,24.66,40.85
4/2/2019,South America,Colombia,8oz Sleek,SLEEK,11.03,33.15
4/2/2019,North America,US,19Oz,Standard,16.56,7.51
4/2/2019,Asia,Japan,19Oz,Standard,16.56,35.10
4/3/2019,EUR,Belgium,44cl,Standard,14.20,104.18
4/3/2019,EUR,Netherlands,44cl,Standard,13.90,120.08
4/3/2019,EUR,Germany,12oz Sleek,SLEEK,13.79,274.05
4/3/2019,South America,Chile,16Oz,Standard,15.00,93.99
4/4/2019,EUR,Spain,8oz Sleek,SLEEK,11.03,21.71
4/4/2019,Asia,Japan,12 OZ,SLEEK,13.79,109.80
4/4/2019,South America,Brasil,50cl,Standard,14.60,46.52
4/4/2019,EUR,France,44cl,Standard,13.90,59.28
4/4/2019,South America,Peru,19Oz,Standard,16.56,166.11
4/4/2019,South America,Peru,32oz,BIG CAN,27.55,199.08
4/5/2019,Asia,Korea,"56,8cl",Standard,18.20,4.18
4/5/2019,South America,Chile,16 OZ,STANDARD,16.08,44.50
4/5/2019,EUR,Belgium,10 OZ,SLEEK,12.83,82.14
4/5/2019,South America,Peru,25oz,BIG CAN,24.66,57.60
4/6/2019,South America,Peru,12oz Sleek,SLEEK,13.79,37.18
4/6/2019,EUR,France,12Oz,Standard,13.00,120.00
4/6/2019,South America,Colombia,11 OZ,Standard,13.38,72.91
4/6/2019,EUR,Belgium,12oz Sleek,SLEEK,13.79,85.19
4/6/2019,South America,Colombia,24 OZ,Big Can,22.81,51.28
4/6/2019,EUR,Portugal,10 OZ,SLEEK,12.83,142.70
4/6/2019,EUR,Czech Republic,25 OZ,STANDARD,25.27,16.97
4/7/2019,South America,Paraguay,11Oz,Standard,12.36,12.66
4/7/2019,North America,US,310ml,Sleek,12.26,77.57
4/7/2019,South America,Brasil,310ml,Sleek,12.26,7.15
4/7/2019,EUR,Portugal,"56,8cl",Standard,18.20,10.19
4/8/2019,EUR,Belgium,44cl,Standard,13.90,2.79
4/8/2019,EUR,Spain,310ml,Sleek,12.26,123.61
4/8/2019,North America,CA,12oz Sleek,SLEEK,13.79,43.40
4/9/2019,EUR,Netherlands,11Oz,Standard,12.36,8.58
4/9/2019,South America,Colombia,10 OZ,SLEEK,12.83,97.17
4/9/2019,South America,Paraguay,11Oz,Standard,12.36,58.14
4/9/2019,Asia,Korea,500ml,Standard,16.93,77.44
4/9/2019,North America,US,270ml,Sleek,13.08,11.26
4/9/2019,EUR,Czech Republic,8oz Sleek,SLEEK,11.03,266.14
4/9/2019,EUR,UK,33cl,Standard,11.90,34.92
4/10/2019,EUR,Spain,11Oz,Standard,12.36,171.55
4/10/2019,South America,Chile,16 OZ,STANDARD,16.08,192.99
4/10/2019,South America,Colombia,16Oz,Standard,15.00,7.40
4/10/2019,EUR,Czech Republic,9Oz,Sleek,11.12,75.61
4/10/2019,EUR,Germany,50cl,Standard,14.60,66.19
4/11/2019,Asia,China,310ml,Sleek,12.26,5.61
4/11/2019,EUR,Czech Republic,12 OZ,Sleek,13.00,35.76
4/11/2019,EUR,Czech Republic,12Oz,Standard,13.00,149.53
4/11/2019,EUR,Czech Republic,33cl,Standard,11.90,153.97
4/11/2019,EUR,Belgium,44cl,Standard,13.90,104.28
4/11/2019,EUR,Netherlands,10 OZ,SLEEK,12.83,24.46
4/11/2019,EUR,Belgium,25 OZ,STANDARD,25.27,1.82
4/11/2019,EUR,Belgium,33cl,Standard,11.90,9.22
4/12/2019,EUR,Belgium,25cl,Standard,11.80,15.78
4/12/2019,Asia,China,500ml,Standard,16.42,16.86
4/12/2019,EUR,UK,25 OZ,STANDARD,25.27,6.94
4/12/2019,South America,Brasil,9Oz,Sleek,11.12,129.03
4/13/2019,North America,US,16 OZ,STANDARD,15.87,8.86
4/13/2019,South America,Peru,24 OZ,Big Can,22.81,13.40
4/13/2019,EUR,Belgium,12oz Sleek,SLEEK,13.79,131.33
4/13/2019,EUR,Netherlands,12Oz,Standard,13.00,46.68
4/13/2019,Asia,Japan,19Oz,Standard,16.56,8.12
4/14/2019,EUR,Portugal,12Oz,Standard,13.00,161.85
4/14/2019,South America,Peru,500ml,Standard,16.93,29.23
4/14/2019,Asia,Korea,12 OZ,SLEEK,13.79,29.40
4/15/2019,South America,Brasil,8 OZ,SLEEK,11.03,165.74
4/15/2019,EUR,Germany,355ml,Standard,13.09,13.56
4/15/2019,EUR,Portugal,8 OZ,SLEEK,11.03,73.08
4/15/2019,Asia,Japan,8 OZ,SLEEK,11.03,23.29
4/15/2019,South America,Paraguay,44cl,Standard,13.90,6.99
4/15/2019,EUR,UK,25oz,BIG CAN,24.66,34.81
4/15/2019,South America,Peru,8 OZ,SLEEK,11.03,94.87
4/16/2019,EUR,Germany,50cl,Standard,15.20,90.27
4/16/2019,EUR,Belgium,10 OZ,SLEEK,12.83,35.79
4/16/2019,Asia,China,24 OZ,Big Can,22.81,125.80
4/16/2019,South America,Chile,16 OZ,STANDARD,16.08,209.43
4/17/2019,EUR,Germany,11 OZ,Standard,13.38,37.67
4/17/2019,EUR,Netherlands,33cl,Standard,11.90,14.05
4/17/2019,South America,Argentina,12 OZ,SLEEK,13.79,110.72
4/17/2019,EUR,UK,"56,8cl",Standard,18.20,78.36
4/18/2019,South America,Chile,16 OZ,STANDARD,16.08,0.51
4/18/2019,EUR,Portugal,12 OZ,SLEEK,13.79,50.41
4/18/2019,South America,Colombia,8 OZ,SLEEK,11.03,123.34
4/19/2019,North America,US,12 OZ,STANDARD,13.46,3.90
4/19/2019,EUR,Belgium,16 OZ,STANDARD,16.08,85.32
4/20/2019,EUR,UK,"56,8cl",Standard,18.20,167.93
4/20/2019,South America,Colombia,24 OZ,Big Can,22.81,111.99
4/20/2019,EUR,UK,270ml,Sleek,13.08,63.61
4/20/2019,Asia,Japan,10.5Oz,Slim,12.85,139.95
4/20/2019,North America,CA,"56,8cl",Standard,18.20,9.79
4/21/2019,Asia,China,330ml,Standard,13.04,117.09
4/21/2019,Asia,Japan,8 OZ,SLEEK,11.03,65.93
4/21/2019,EUR,Czech Republic,8oz Sleek,SLEEK,11.03,122.18
4/21/2019,Asia,Korea,16 OZ,STANDARD,16.08,3.99
4/21/2019,South America,Chile,25cl,Slim,10.40,36.23
4/22/2019,South America,Brasil,19Oz,Standard,16.56,2.44
4/22/2019,South America,Colombia,16Oz,Standard,15.00,13.67
4/22/2019,EUR,Spain,11Oz,Standard,12.36,70.25
4/22/2019,Asia,Korea,11 OZ,Standard,13.38,5.78
4/22/2019,North America,US,12Oz,Standard,13.00,103.24
4/23/2019,EUR,Czech Republic,15cl,Slim,8.50,3.29
4/23/2019,North America,CA,12oz Sleek,SLEEK,13.79,47.67
4/23/2019,South America,Chile,10.5Oz,Slim,12.85,55.71
4/23/2019,South America,Paraguay,12Oz,Standard,13.00,51.09
4/23/2019,EUR,Germany,50cl,Standard,14.60,161.12
4/24/2019,Asia,China,330ml,Standard,13.55,131.12
4/24/2019,North America,US,16Oz,Standard,15.00,26.54
4/24/2019,EUR,Czech Republic,10.5Oz,Slim,12.85,25.32
4/24/2019,South America,Argentina,16 OZ,STANDARD,16.08,50.07
4/24/2019,South America,Colombia,44cl,Standard,13.90,48.81
4/24/2019,South America,Panama,10 OZ,SLEEK,12.83,10.75
4/25/2019,South America,Paraguay,25cl,Slim,10.40,236.95
4/25/2019,EUR,Portugal,8oz Sleek,SLEEK,11.03,68.84
4/25/2019,South America,Peru,12Oz,Standard,13.00,73.66
4/26/2019,EUR,UK,33cl,Standard,12.50,35.44
4/26/2019,EUR,Belgium,33cl,Standard,11.90,51.28
4/26/2019,South America,Brasil,11 OZ,Standard,13.38,140.80
4/26/2019,EUR,Germany,310ml,Sleek,12.26,53.01
4/26/2019,Asia,Japan,25cl,Slim,10.40,97.86
4/26/2019,South America,Chile,19Oz,Standard,16.56,18.09
4/26/2019,EUR,Netherlands,8oz Sleek,SLEEK,11.03,7.70
4/26/2019,EUR,UK,25cl,Slim,10.40,148.34
4/27/2019,Asia,China,44cl,Standard,13.90,120.29
4/27/2019,EUR,Spain,"56,8cl",Standard,18.20,152.38
4/27/2019,EUR,Germany,25 OZ,STANDARD,25.27,39.38
4/27/2019,EUR,UK,330ml,Standard,12.78,82.90
4/27/2019,North America,US,"56,8cl",Standard,18.20,136.90
4/27/2019,Asia,Japan,25oz,BIG CAN,24.66,15.44
4/28/2019,EUR,Czech Republic,32oz,BIG CAN,27.55,45.72
4/28/2019,EUR,France,8 OZ,SLEEK,11.03,80.83
4/28/2019,EUR,France,44cl,Standard,13.90,84.08
4/28/2019,Asia,Japan,10 OZ,SLEEK,12.83,8.75
4/28/2019,Asia,Japan,330ml,Standard,12.78,56.43
4/28/2019,North America,CA,270ml,Sleek,13.08,56.98
4/28/2019,South America,Paraguay,32oz,BIG CAN,27.55,6.70
4/28/2019,North America,US,44cl,Standard,13.90,41.59
4/28/2019,EUR,Portugal,50cl,Standard,14.60,26.20
4/29/2019,EUR,Germany,33cl,Standard,12.40,236.17
4/29/2019,EUR,UK,50cl,Standard,14.60,0.10
4/29/2019,North America,US,8 OZ,SLEEK,11.03,74.55
4/29/2019,South America,Peru,50cl,Standard,14.60,34.07
4/30/2019,South America,Panama,8oz Sleek,SLEEK,11.03,29.00
4/30/2019,EUR,Portugal,12Oz,Standard,13.00,0.51
4/30/2019,EUR,UK,50cl,Standard,14.60,67.64
5/1/2019,EUR,Germany,50cl,Standard,2.50,47.81
5/1/2019,Asia,Korea,25 OZ,STANDARD,25.27,60.33
5/1/2019,EUR,UK,9Oz,Sleek,11.12,51.02
5/1/2019,EUR,Czech Republic,12 OZ,SLEEK,13.79,20.76
5/1/2019,EUR,UK,33cl,Standard,11.90,23.54
5/2/2019,South America,Colombia,"56,8cl",Standard,18.20,23.53
5/2/2019,EUR,Spain,11Oz,Standard,12.36,54.45
5/2/2019,North America,US,10.5Oz,Slim,12.85,174.63
5/2/2019,Asia,Korea,15cl,Slim,8.50,82.42
5/2/2019,South America,Brasil,355ml,Standard,13.09,16.15
5/2/2019,South America,Peru,330ml,Standard,12.78,5.42
5/2/2019,EUR,Netherlands,15cl,Slim,8.50,52.48
5/2/2019,North America,US,11Oz,Standard,12.36,46.89
5/2/2019,South America,Chile,11Oz,Standard,12.36,191.00
5/2/2019,EUR,Netherlands,11Oz,Standard,12.36,85.97
5/3/2019,South America,Brasil,9Oz,Sleek,11.09,174.58
5/3/2019,North America,CA,24 OZ,Big Can,22.81,160.70
5/3/2019,South America,Colombia,270ml,Sleek,13.08,151.54
5/4/2019,EUR,Spain,24 OZ,Big Can,22.81,197.18
5/4/2019,South America,Argentina,310ml,Sleek,12.26,156.54
5/4/2019,Asia,Korea,10 OZ,SLEEK,12.83,26.55
5/4/2019,EUR,Czech Republic,330ml,Standard,12.78,12.96
5/4/2019,South America,Colombia,12Oz,Standard,13.00,158.78
5/4/2019,EUR,Czech Republic,310ml,Sleek,12.26,72.60
5/4/2019,Asia,Korea,16Oz,Standard,15.00,42.20
5/4/2019,EUR,UK,50cl,Standard,14.60,1.76
5/5/2019,Asia,China,500ml,Standard,16.38,116.67
5/5/2019,EUR,Portugal,"56,8cl",Standard,18.20,161.35
5/5/2019,Asia,Japan,32oz,BIG CAN,27.55,11.09
5/5/2019,EUR,France,330ml,Standard,12.78,12.64
5/5/2019,EUR,Germany,50cl,Standard,14.60,47.53
5/6/2019,EUR,UK,33cl,Standard,11.90,138.49
5/6/2019,North America,CA,10.5Oz,Slim,12.85,166.19
5/6/2019,EUR,Germany,25oz,BIG CAN,24.66,182.50
5/6/2019,EUR,Portugal,25 OZ,STANDARD,25.27,45.39
5/6/2019,EUR,Belgium,"56,8cl",Standard,18.20,33.19
5/6/2019,South America,Chile,330ml,Standard,12.78,97.88
5/6/2019,EUR,UK,12 OZ,SLEEK,13.79,0.51
5/7/2019,EUR,Belgium,310ml,Sleek,12.26,15.61
5/7/2019,South America,Argentina,500ml,Standard,16.93,27.52
5/7/2019,South America,Peru,8oz Sleek,SLEEK,11.03,96.92
5/9/2019,North America,US,12 OZ,STANDARD,13.40,68.29
5/9/2019,EUR,Belgium,33cl,Standard,11.90,156.84
5/9/2019,South America,Chile,25 OZ,STANDARD,25.27,98.89
5/9/2019,EUR,Czech Republic,19Oz,Standard,16.56,2.83
5/10/2019,Asia,Korea,15cl,Slim,8.50,12.46
5/10/2019,EUR,Czech Republic,16Oz,Standard,15.00,25.37
5/10/2019,South America,Colombia,330ml,Standard,12.78,20.97
5/10/2019,Asia,Japan,9Oz,Sleek,11.12,13.99
5/10/2019,South America,Panama,25oz,BIG CAN,24.66,13.15
5/11/2019,EUR,Belgium,11Oz,Standard,12.36,50.37
5/11/2019,EUR,France,33cl,Standard,11.90,10.87
5/11/2019,EUR,Netherlands,"56,8cl",Standard,18.20,8.45
5/11/2019,EUR,Portugal,12Oz,Standard,13.00,33.69
5/11/2019,EUR,Netherlands,9Oz,Sleek,11.12,141.63
5/11/2019,South America,Argentina,8 OZ,SLEEK,11.03,92.31
5/11/2019,Asia,Japan,44cl,Standard,13.90,40.74
5/11/2019,EUR,Portugal,355ml,Standard,13.09,76.19
5/12/2019,North America,CA,12oz Sleek,SLEEK,13.79,146.73
5/12/2019,EUR,Spain,11 OZ,Standard,13.38,195.24
5/12/2019,South America,Chile,355ml,Standard,13.09,37.72
5/12/2019,EUR,UK,50cl,Standard,14.60,64.38
5/13/2019,EUR,Belgium,8 OZ,SLEEK,11.03,100.48
5/13/2019,South America,Peru,500ml,Standard,16.93,44.44
5/13/2019,North America,CA,10.5Oz,Slim,12.85,29.07
5/14/2019,EUR,Belgium,33cl,Standard,12.40,178.07
5/14/2019,Asia,China,500ml,Standard,16.00,142.21
5/14/2019,South America,Brasil,310ml,Sleek,12.26,0.77
5/14/2019,EUR,Germany,"56,8cl",Standard,18.20,33.51
5/14/2019,EUR,Belgium,25oz,BIG CAN,24.66,9.90
5/14/2019,North America,CA,44cl,Standard,13.90,214.14
5/14/2019,North America,CA,10.5Oz,Slim,12.85,8.51
5/15/2019,North America,US,16 OZ,STANDARD,16.08,62.15
5/15/2019,North America,CA,10 OZ,SLEEK,12.83,63.49
5/15/2019,EUR,UK,10.5Oz,Slim,12.85,51.47
5/15/2019,North America,US,8oz Sleek,SLEEK,11.03,108.60
5/15/2019,South America,Colombia,25oz,BIG CAN,24.66,25.01
5/15/2019,North America,US,16 OZ,STANDARD,16.08,97.18
5/15/2019,EUR,Portugal,12 OZ,SLEEK,13.79,173.80
5/16/2019,North America,US,12 OZ,SLEEK,13.96,8.11
5/16/2019,South America,Argentina,330ml,Standard,12.78,167.94
5/16/2019,South America,Panama,10 OZ,SLEEK,12.83,64.37
5/16/2019,EUR,Germany,8 OZ,SLEEK,11.03,64.86
5/16/2019,South America,Chile,24 OZ,Big Can,22.81,71.39
5/16/2019,EUR,Czech Republic,12oz Sleek,SLEEK,13.79,14.50
5/17/2019,EUR,Germany,50cl,Standard,14.60,38.77
5/17/2019,North America,US,15cl,Slim,8.50,38.45
5/17/2019,Asia,Japan,500ml,Standard,16.93,79.74
5/17/2019,EUR,Belgium,10.5Oz,Slim,12.85,112.51
5/17/2019,EUR,Belgium,32oz,BIG CAN,27.55,68.38
5/17/2019,EUR,Portugal,16Oz,Standard,15.00,204.09
5/17/2019,Asia,Korea,12 OZ,SLEEK,13.79,47.04
5/18/2019,Asia,Korea,19Oz,Standard,16.56,23.14
5/18/2019,North America,CA,11 OZ,Standard,13.38,0.08
5/18/2019,EUR,Czech Republic,50cl,Standard,14.60,100.29
5/18/2019,Asia,Korea,9Oz,Sleek,11.12,100.85
5/19/2019,South America,Colombia,10 OZ,SLEEK,12.83,47.28
5/19/2019,South America,Paraguay,270ml,Sleek,13.08,86.11
5/19/2019,North America,US,16 OZ,STANDARD,16.08,66.95
5/20/2019,North America,CA,16oz,STANDARD,15.92,36.48
5/20/2019,North America,US,24 OZ,Big Can,22.81,33.83
5/21/2019,South America,Peru,50cl,Standard,14.60,0.22
5/21/2019,EUR,Belgium,500ml,Standard,16.93,17.27
5/21/2019,EUR,Germany,10.5Oz,Slim,12.85,26.69
5/22/2019,EUR,Spain,8oz Sleek,SLEEK,11.03,9.92
5/22/2019,South America,Brasil,25oz,BIG CAN,24.66,20.94
5/22/2019,EUR,Belgium,310ml,Sleek,12.26,5.57
5/22/2019,South America,Peru,11 OZ,Standard,13.38,25.98
5/22/2019,South America,Colombia,32oz,BIG CAN,27.55,98.13
5/22/2019,North America,US,16Oz,Standard,15.00,11.91
5/22/2019,Asia,Japan,16 OZ,STANDARD,16.08,1.86
5/22/2019,South America,Paraguay,25cl,Slim,10.40,125.69
5/22/2019,EUR,UK,330ml,Standard,12.78,157.40
5/23/2019,EUR,Belgium,50cl,Standard,14.60,49.24
5/23/2019,South America,Chile,8oz Sleek,SLEEK,11.03,47.57
5/23/2019,EUR,Portugal,44cl,Standard,13.90,6.15
5/23/2019,EUR,Belgium,9Oz,Sleek,11.12,144.72
5/23/2019,EUR,Netherlands,32oz,BIG CAN,27.55,49.11
5/23/2019,Asia,Japan,33cl,Standard,11.90,69.70
5/23/2019,EUR,Germany,355ml,Standard,13.09,107.61
5/24/2019,EUR,Netherlands,25cl,Slim,10.40,223.27
5/24/2019,Asia,Japan,"56,8cl",Standard,18.20,126.38
5/24/2019,Asia,Japan,10 OZ,SLEEK,12.83,5.79
5/25/2019,Asia,China,330ml,Standard,13.55,11.25
5/25/2019,EUR,Czech Republic,12 OZ,Standard,13.00,66.78
5/25/2019,South America,Paraguay,12Oz,Standard,13.00,77.81
5/25/2019,EUR,Portugal,33cl,Standard,11.90,35.16
5/25/2019,South America,Panama,44cl,Standard,13.90,112.26
5/25/2019,Asia,Japan,11 OZ,Standard,13.38,60.30
5/25/2019,EUR,Netherlands,32oz,BIG CAN,27.55,59.13
5/26/2019,North America,US,12 OZ,STANDARD,13.65,49.78
5/26/2019,South America,Chile,10.5Oz,Slim,12.85,45.32
5/26/2019,South America,Argentina,24 OZ,Big Can,22.81,44.51
5/26/2019,EUR,Spain,12Oz,Standard,13.00,156.85
5/26/2019,North America,CA,12 OZ,SLEEK,13.79,74.03
5/27/2019,EUR,Netherlands,500ml,Standard,16.93,39.84
5/27/2019,Asia,China,25cl,Slim,10.40,7.10
5/27/2019,South America,Argentina,33cl,Standard,11.90,90.12
5/27/2019,South America,Brasil,8 OZ,SLEEK,11.03,18.80
5/27/2019,South America,Paraguay,25 OZ,STANDARD,25.27,68.57
5/27/2019,North America,US,25 OZ,STANDARD,25.27,3.55
5/27/2019,EUR,Belgium,33cl,Standard,11.90,124.76
5/28/2019,Asia,Korea,16 OZ,STANDARD,16.08,79.99
5/28/2019,South America,Paraguay,8 OZ,SLEEK,11.03,106.66
5/28/2019,South America,Chile,15cl,Slim,8.50,1.99
5/28/2019,South America,Peru,44cl,Standard,13.90,63.18
5/28/2019,North America,CA,"56,8cl",Standard,18.20,128.03
5/28/2019,North America,US,50cl,Standard,14.60,107.65
5/29/2019,EUR,UK,33cl,Standard,12.50,101.21
5/29/2019,North America,US,15cl,Slim,8.50,168.19
5/29/2019,EUR,France,10.5Oz,Slim,12.85,56.35
5/30/2019,North America,US,16 OZ,STANDARD,15.92,23.62
5/30/2019,North America,CA,12oz,STANDARD,13.58,2.93
5/30/2019,South America,Panama,11 OZ,Standard,13.38,65.01
5/30/2019,Asia,Japan,500ml,Standard,16.93,6.44
5/30/2019,Asia,Japan,24 OZ,Big Can,22.81,0.09
5/30/2019,EUR,Portugal,32oz,BIG CAN,27.55,79.82
5/30/2019,EUR,Belgium,44cl,Standard,13.90,57.50
5/31/2019,South America,Peru,8 OZ,SLEEK,11.03,36.21
5/31/2019,South America,Paraguay,355ml,Standard,13.09,11.91
5/31/2019,EUR,Netherlands,33cl,Standard,11.90,98.53
5/31/2019,South America,Brasil,12 OZ,SLEEK,13.79,114.94
5/31/2019,South America,Paraguay,16 OZ,STANDARD,16.08,42.15
6/1/2019,South America,Brasil,24 OZ,Big Can,22.81,43.89
6/1/2019,EUR,France,12oz Sleek,SLEEK,13.79,11.08
6/1/2019,Asia,Korea,500ml,Standard,16.93,16.02
6/1/2019,South America,Colombia,33cl,Standard,11.90,203.67
6/1/2019,EUR,UK,270ml,Sleek,13.08,31.33
6/2/2019,EUR,Portugal,15cl,Slim,8.50,73.71
6/2/2019,South America,Peru,355ml,Standard,13.09,26.90
6/2/2019,South America,Chile,25cl,Slim,10.40,91.57
6/2/2019,South America,Chile,"56,8cl",Standard,18.20,191.36
6/2/2019,EUR,France,10.5Oz,Slim,12.85,232.18
6/3/2019,EUR,Czech Republic,32oz,BIG CAN,27.55,45.72
6/3/2019,South America,Argentina,50cl,Standard,14.60,5.50
6/3/2019,EUR,Czech Republic,33cl,Standard,11.90,29.20
6/3/2019,South America,Paraguay,330ml,Standard,12.78,14.71
6/3/2019,North America,CA,12 OZ,SLEEK,13.79,20.89
6/3/2019,EUR,UK,"56,8cl",Standard,18.20,51.28
